Week #,Week Focus,Day,Day Task,Suggested Resources,,,,
1,Foundations & Dev Environment,A (DONE),Setup development environment: Docker, Juice Shop, local labs; clone repos and create workspace,MDN Web Docs: https://developer.mozilla.org/; W3Schools: https://www.w3schools.com/; PortSwigger All Labs: https://portswigger.net/web-security/all-labs; OWASP Juice Shop: https://owasp.org/www-project-juice-shop/,,
1,Foundations & Dev Environment,B,Review HTTP basics: requests/responses, headers, cookies; write tiny Python script to parse headers,MDN - HTTP: https://developer.mozilla.org/en-US/docs/Web/HTTP; Python Docs: https://docs.python.org/3/,,
1,Foundations & Dev Environment,C,Run 1–2 PortSwigger basic labs (recon + exploit simple bug); document steps,PortSwigger All Labs: https://portswigger.net/web-security/all-labs; OWASP Juice Shop,,,,
1,Foundations & Dev Environment,D,Write quick notes + checklist for your common workflow; record 3-min video script of setup,,,,,
2,JavaScript Week 1 - Core JS & Safe DOM,A,Read MDN JS Guide sections: grammar, types, functions; small exercises, variables & functions,MDN JS Guide: https://developer.mozilla.org/en-US/docs/Web/JavaScript/Guide; W3Schools JS,
2,JavaScript Week 1 - Core JS & Safe DOM,B,Build small form validator (vanilla JS) — use textContent not innerHTML,MDN - DOM Reference: https://developer.mozilla.org/en-US/docs/Web/API/Document_Object_Model/Reference,,,,
2,JavaScript Week 1 - Core JS & Safe DOM,C,Practice safe DOM lab: create vulnerable sample then patch with textContent/DOMPurify,DOMPurify: https://github.com/cure53/DOMPurify; PortSwigger DOM,,,,
2,JavaScript Week 1 - Core JS & Safe DOM,D,Write unit tests for validator; document XSS sinks found and fixes,,,,,
3,JavaScript Week 2 - Async & Fetch,A,Read Fetch API + async/await on MDN; small examples with fetch and error handling,MDN - Fetch API: https://developer.mozilla.org/en-US/docs/Web/API/Fetch_API; MDN async functions,,,,
3,JavaScript Week 2 - Async & Fetch,B,Implement JS client that calls a local Flask/PHP endpoint; handle errors and timeouts using AbortController,Axios: https://axios-http.com/; Flask Docs,,,,
3,JavaScript Week 2 - Async & Fetch,C,Practice CORS flows with test endpoints: preflight and credentialed requests; note misconfigurations,MDN - CORS: https://developer.mozilla.org/en-US/docs/Web/HTTP/CORS; PortSwigger CORS,,,,
3,JavaScript Week 2 - Async & Fetch,D,Document fetch patterns, pitfalls, and a short checklist for debugging CORS,,,
4,Prototype Pollution (JS) Deep Dive,A,Read MDN prototype chain and prototype pollution writeups; study lodash merge/assign docs,MDN - Prototype: https://developer.mozilla.org/en-US/docs/Web/JavaScript/Inheritance_and_the_prototype_chain; Lodash docs: https://lodash.com/docs/; Snyk writeup,,,,
4,Prototype Pollution (JS) Deep Dive,B,Code a small merge utility that is intentionally vulnerable; write tests showing polluted properties,Node.js Docs; MDN; W3Schools JS,,,,
4,Prototype Pollution (JS) Deep Dive,C,Exploit your vulnerable utility to demonstrate prototype pollution; test endpoints returning JSON; practice patching,Snyk - Prototype Pollution: https://snyk.io/learn/prototype-pollution/; PortSwigger research,,,,
4,Prototype Pollution (JS) Deep Dive,D,Implement fixes (Object.create(null), structuredClone/deep-merge guards) and document PR notes,,,,
5,Coding fundamentals (Python/PHP),A,Refresh Python basics and PHP form handling; write a CLI log parser in Python,Python Docs: https://docs.python.org/3/; PHP Manual: https://www.php.net/manual/en/; Real Python: https://realpython.com/,,,,
5,Coding fundamentals (Python/PHP),B,Add unit tests (pytest) for parser; add input validation and safe parsing patterns,pytest docs: https://docs.pytest.org/; Flask Docs,,,,
5,Coding fundamentals (Python/PHP),C,Build a small form in PHP and test for input sanitization issues (server-side), run a PortSwigger lab related to forms,PHP Manual; PortSwigger All Labs,,,
5,Coding fundamentals (Python/PHP),D,Write notes and a short example README showing safe handling patterns,,,,,
6,DOM-based XSS & client-side analysis,A,Read DOM-based XSS patterns on PortSwigger and MDN; map DOM sinks and sources,PortSwigger DOM: https://portswigger.net/web-security/dom-based; MDN DOM: https://developer.mozilla.org/en-US/docs/Web/API/Document_Object_Model/,,,,
6,DOM-based XSS & client-side analysis,B,Create a vulnerable DOM page and then patch using DOMPurify and safe APIs,DOMPurify: https://github.com/cure53/DOMPurify; MDN DOM scripting,,,,
6,DOM-based XSS & client-side analysis,C,Run DOM XSS labs (reflected & stored); capture payloads & PoC screenshots,PortSwigger DOM labs,,,,
6,DOM-based XSS & client-side analysis,D,Refactor code and write notes about sinks and mitigations,,,,,
7,Client-side defenses & CSP,A,Read CSP docs (directives, reporting, nonce/hash strategies) on MDN,MDN - Content Security Policy: https://developer.mozilla.org/en-US/docs/Web/HTTP/CSP; PortSwigger CSP,,
7,Client-side defenses & CSP,B,Add CSP to your sample app; test inline script blocking; test nonce usage,MDN CSP examples; DOMPurify,,,,
7,Client-side defenses & CSP,C,Try to bypass weak CSP setup in a controlled lab; log the bypass path,PortSwigger CSP labs,,,,
7,Client-side defenses & CSP,D,Document an implementable CSP policy and rollout steps,,,,,
8,Reflected/Stored XSS - quick refresh,A,Quick read on reflected vs stored XSS; list common input points (search, comments) ,PortSwigger all topics: https://portswigger.net/web-security/all-topics; OWASP XSS,,,
8,Reflected/Stored XSS - quick refresh,B,Write an automated XSS fuzzing script in Python to target forms and parameters,Python Docs; Real Python,,,,
8,Reflected/Stored XSS - quick refresh,C,Run fuzzing script against Juice Shop / labs for reflected & stored XSS; capture successful payloads,OWASP Juice Shop; PortSwigger labs,,,,
8,Reflected/Stored XSS - quick refresh,D,Add tests to CI for detected XSS patterns; write short lab reports,,,,,
9,CORS In-Depth,A,Read MDN CORS details: preflight, credentials, headers; sketch a threat model,MDN - CORS: https://developer.mozilla.org/en-US/docs/Web/HTTP/CORS; PortSwigger CORS,,
9,CORS In-Depth,B,Create two endpoints to reproduce dangerous CORS misconfigs; test different Access-Control-* headers,MDN examples; Axios,,,,
9,CORS In-Depth,C,Exploit a misconfigured setup in a lab environment and log the steps,PortSwigger CORS labs,,,,
9,CORS In-Depth,D,Document fixes and checklist for server CORS configuration,,,,,
10,SQLi automation (keep),A,Read SQLi basics and parameterized queries (OWASP cheat sheet); design automation tool spec,OWASP SQLi prevention; PortSwigger SQLi,,,,
10,SQLi automation (keep),B,Implement Python script to enumerate DB schema using SQLi payloads (safe lab only),Python Docs; PortSwigger SQLi,,,,
10,SQLi automation (keep),C,Run script in lab (Juice Shop/DVWA) to retrieve example data; harden queries with parameterized statements,PortSwigger labs,,,,
10,SQLi automation (keep),D,Refactor script and add logging/report output for repeats,,,,,
11,Blind & error-based SQLi (brief),A,Read blind SQLi techniques and time-based payloads; craft test plan,PortSwigger SQLi; OWASP SQLi cheat sheet,,,,
11,Blind & error-based SQLi (brief),B,Extend automation with time-based probes and boolean checks,Python scripting; requests lib,,,,
11,Blind & error-based SQLi (brief),C,Run blind SQLi lab; capture response timings and derive data incrementally,PortSwigger SQLi labs,,,,
11,Blind & error-based SQLi (brief),D,Document extraction approach and optimize tool for speed,,,,,
12,Command Injection & OS safety (condensed),A,Read command injection cases and safe exec patterns; identify endpoints to test,PortSwigger Command Injection,,,,
12,Command Injection & OS safety (condensed),B,Write a small vulnerable exec endpoint in Flask and then fix it (use subprocess with list args),Python Docs; Flask Docs,,,,
12,Command Injection & OS safety (condensed),C,Exploit command injection lab safely, try blind OOB exfil if available,PortSwigger Command Injection labs,,,
12,Command Injection & OS safety (condensed),D,Patch code, add whitelist patterns and unit tests,,,,
13,SSRF & open redirect patterns (condensed),A,Read SSRF basics and metadata service risks; sketch allowed-list approach,PortSwigger SSRF; MDN,,,,
13,SSRF & open redirect patterns (condensed),B,Implement URL fetch endpoint and harden with allowlist & validation,Python Docs; Node Docs,,,,
13,SSRF & open redirect patterns (condensed),C,Run SSRF labs targeting local metadata endpoints and record PoC,PortSwigger SSRF labs,,,,
13,SSRF & open redirect patterns (condensed),D,Document detection & remediation approach,,,,,
14,File Upload & Deserialization (condensed),A,Read file upload best practices and deserialization risks,PortSwigger File Upload; PortSwigger Deserialization; OWASP file upload,,,,
14,File Upload & Deserialization (condensed),B,Implement secure upload handler with content-type checks and safe storage,Flask/PHP docs; Python Docs,,,,
14,File Upload & Deserialization (condensed),C,Attempt upload bypasses / deserialization attacks in lab; analyze payload handling,PortSwigger labs,,,,
14,File Upload & Deserialization (condensed),D,Add tests and document file handling checklist,,,,,
15,GraphQL fundamentals,A,Read GraphQL schema basics and introspection docs,GraphQL Learn; PortSwigger GraphQL,,,,
15,GraphQL fundamentals,B,Run a simple GraphQL server locally and query schema introspection,GraphQL docs; Apollo/Express examples,,,,
15,GraphQL fundamentals,C,Practice schema mapping and simple exploit patterns (introspection labs),PortSwigger GraphQL labs,,,,
15,GraphQL fundamentals,D,Document resolver auth checks and schema hardening steps,,,,,
16,GraphQL security & hardening,A,Read GraphQL security guidance: complexity, depth limits, auth in resolvers,GraphQL security guides,,
16,GraphQL security & hardening,B,Add depth/complexity limits and query whitelisting to your server; test rate limits,GraphQL docs; OWASP API Security,,,,
16,GraphQL security & hardening,C,Run GraphQL security labs and attempt complexity attacks; log resource usage,PortSwigger GraphQL,,,,
16,GraphQL security & hardening,D,Document mitigation patterns and prepare a small writeup,,,,,
17,APIs In-Depth: REST design, idempotency & versioning,A,Read REST design & idempotency patterns and API threat model,OWASP API Security; MDN,,,
17,APIs In-Depth: REST design, idempotency & versioning,B,Implement versioned endpoints and idempotent behavior (PUT vs POST) in your app,Flask/Express docs,,,
17,APIs In-Depth: REST design, idempotency & versioning,C,Test endpoints for common API misconfigurations and auth bypasses,PortSwigger All Topics; OWASP API Security,,,
17,APIs In-Depth: REST design, idempotency & versioning,D,Document API design checklist & tests,,,,
18,APIs In-Depth: Security, rate-limiting, webhooks & gateways,A,Read JWT/OAuth basics and webhook signing patterns,Auth0 JWT guide; OWASP API Security,,
18,APIs In-Depth: Security, rate-limiting, webhooks & gateways,B,Implement JWT auth and webhook signature verification; add a rate-limiter,Flask/Express docs; Rate-limit libs,,
18,APIs In-Depth: Security, rate-limiting, webhooks & gateways,C,Test replay and abuse scenarios against webhook endpoints in lab,PortSwigger All Labs,,
18,APIs In-Depth: Security, rate-limiting, webhooks & gateways,D,Write automation tests and mitigation notes,,,
19,HTTP Request Smuggling - In Depth,A,Read request smuggling basics and CL/TE differences (research overview),PortSwigger request smuggling research,,,,
19,HTTP Request Smuggling - In Depth,B,Build harness to send crafted CL/TE requests between front/backends locally,python requests/raw sockets; Node,,,,
19,HTTP Request Smuggling - In Depth,C,Reproduce a simple smuggling scenario in lab environment and document behavior,PortSwigger request smuggling labs,,,,
19,HTTP Request Smuggling - In Depth,D,Document detection heuristics and mitigations for proxies/load balancers,,,,,
20,CSRF & session management deep dive,A,Read CSRF prevention patterns and SameSite cookie docs,PortSwigger CSRF; OWASP CSRF,,,,
20,CSRF & session management deep dive,B,Implement CSRF tokens & SameSite cookies in your sample app; add tests,Flask/Express docs,,,,
20,CSRF & session management deep dive,C,Try CSRF bypass labs and analyze token binding weaknesses,PortSwigger CSRF labs,,,,
20,CSRF & session management deep dive,D,Document tradeoffs and recommended cookie settings,,,,,
21,Auth logic & business logic flaws,A,Read auth logic pitfalls and business logic vulnerability examples,PortSwigger Authentication; OWASP Top Ten,,,,
21,Auth logic & business logic flaws,B,Write unit tests enforcing business rules and RBAC scenarios in your app,pytest; PHP unit testing,,,,
21,Auth logic & business logic flaws,C,Practice logic bypass labs (pricing, refunds, multi-step flows) in labs,PortSwigger all topics; Juice Shop,,
21,Auth logic & business logic flaws,D,Document root causes and propose code-level patches,,,,,
22,Rate-limiting bypasses & abuse testing,A,Read rate-limiting strategies and anti-abuse patterns,OWASP API Security; PortSwigger All Topics,,,,
22,Rate-limiting bypasses & abuse testing,B,Implement rate-limiter with token buckets or leaky bucket; add logging,Express/Flask libs,,,,
22,Rate-limiting bypasses & abuse testing,C,Simulate abuse patterns and test bypasses (IP rotation, token reuse),TryHackMe; PortSwigger labs,,,
22,Rate-limiting bypasses & abuse testing,D,Add monitoring rules and alert thresholds documentation,,,,,
23,Full-stack app (build insecure version),A,Scaffold a small insecure app: auth, upload, search, admin pages,Flask/PHP quickstart; OWASP Juice Shop,
23,Full-stack app (build insecure version),B,Implement intentionally insecure endpoints to use for later audits (comment, search),Python/PHP,,,
23,Full-stack app (build insecure version),C,Seed app with demo data and run focused injection tests,PortSwigger All Labs,,,,
23,Full-stack app (build insecure version),D,Document all known issues and prepare lab checklist,,,,,
24,Audit: injection-heavy review & automation,A,Plan audit scope: recon checklist, mapping inputs & attack surface,Recon checklist; PortSwigger,,,
24,Audit: injection-heavy review & automation,B,Run your automation tools (SQLi scanner, XSS fuzzer) against your app,Python tooling; Burp,,,
24,Audit: injection-heavy review & automation,C,Exploit a chain (e.g., XSS → CSRF → auth abuse) in your lab; capture PoC,PortSwigger labs,,,
24,Audit: injection-heavy review & automation,D,Write the attack report and remediation steps,,,,,
25,Patch & harden: CI, tests, monitoring,A,Read secure CI/CD practices and secret handling,GitHub Actions docs; OWASP,,
25,Patch & harden: CI, tests, monitoring,B,Add CI tests (unit + integration) and vulnerability checks (Snyk/Dependabot),GitHub Actions; Snyk,,
25,Patch & harden: CI, tests, monitoring,C,Test deployment pipeline; run integration tests against staging,Docker; CI docs,,
25,Patch & harden: CI, tests, monitoring,D,Document deployment checklist & incident response notes,,,
26,Integration tests, logging, portfolio polish,A,Read logging best practices and structure for alerts,OWASP Logging guidance; ELK docs,,
26,Integration tests, logging, portfolio polish,B,Implement structured logging and a simple log scanner script,Python logging; ELK basics,,
26,Integration tests, logging, portfolio polish,C,Run simulated attacks and verify detection in logs,Log scanning tests,,
26,Integration tests, logging, portfolio polish,D,Polish write-ups and GitHub portfolio entries,,,
27,Automation & tooling in Python (toolkit),A,Design toolkit components: crawler, replay, parser, report generator,Python Docs; Real Python,
27,Automation & tooling in Python (toolkit),B,Implement crawler & basic replay tool for lab steps,requests + click libs,,,,
27,Automation & tooling in Python (toolkit),C,Use toolkit to speed up a lab solve and measure time savings,Your toolkit; PortSwigger labs,,,,
27,Automation & tooling in Python (toolkit),D,Refactor toolkit and add README examples,,,,,
28,Timed challenges & red-team style exercises,A,Set timed challenge rules & recon checklist (60–90min),PortSwigger All Labs,,,,
28,Timed challenges & red-team style exercises,B,Run a timed lab focusing on speed (use toolkit & cheatsheets),PortSwigger labs,,,,
28,Timed challenges & red-team style exercises,C,Review recordings and narrate steps for improvement,Your recorded session,,,,
28,Timed challenges & red-team style exercises,D,Document refined workflow and update checklist,,,,,
29,Content creation & portfolio polish,A,Plan content: choose labs/projects for videos & write-ups,YouTube guides; GitHub README templates,,,,
29,Content creation & portfolio polish,B,Write detailed write-up and PoC code for one lab,Markdown; GitHub,,,,
29,Content creation & portfolio polish,C,Record/edit a short video demoing exploit & remediation,OBS guides; YouTube tutorials,,,,
29,Content creation & portfolio polish,D,Publish materials and promote (social + GitHub); log feedback,,,,,
30,Final review: pick top labs to redo and document,A,Choose top 5 labs to re-audit and set success criteria,PortSwigger All Labs,,,,
30,Final review: pick top labs to redo and document,B,Rerun labs under timed conditions and retest fixes,PortSwigger labs,,,,
30,Final review: pick top labs to redo and document,C,Prepare final portfolio items (reports + video) for those labs,GitHub + YouTube,,,,
30,Final review: pick top labs to redo and document,D,Finalize portfolio and checklist for next steps,,,,,
31,Access Control Deep Dive (Authorization & RBAC),A,Read RBAC vs ABAC patterns and IDOR cases; plan test cases,PortSwigger Auth Logic; OWASP,,,,
31,Access Control Deep Dive (Authorization & RBAC),B,Implement RBAC endpoints and object-level checks in your app,Flask/Express RBAC examples,,,,
31,Access Control Deep Dive (Authorization & RBAC),C,Attack your RBAC implementation: test horizontal & vertical privilege escalation,PortSwigger labs; Juice Shop,,,,
31,Access Control Deep Dive (Authorization & RBAC),D,Patch findings, add unit tests and document permission model,,,,
32,Business Logic Flaws Deep Dive,A,Read business logic vulnerability examples (pricing, refunds, race conditions),PortSwigger All Topics; OWASP,,
32,Business Logic Flaws Deep Dive,B,Build a small e-commerce flow with discounts & refunds in your app,Flask/PHP sample code,,,,
32,Business Logic Flaws Deep Dive,C,Attempt logic bypasses and race-condition tests (concurrent requests),Concurrency testing tools,,,,
32,Business Logic Flaws Deep Dive,D,Document exploited flows and add server-side guards & tests,,,,,
33,Authentication Deep Dive (Passwords, MFA, OAuth/JWT),A,Read authentication best practices, secure password storage & MFA,OWASP Authentication Cheat Sheet; Auth0 JWT guide,
33,Authentication Deep Dive (Passwords, MFA, OAuth/JWT),B,Implement secure login: password hashing, account lockout, MFA (TOTP),Flask/Auth libs; PHP password_hash
33,Authentication Deep Dive (Passwords, MFA, OAuth/JWT),C,Test JWT/OAuth flows for common misconfigs and attempt safe bypass techniques in lab,PortSwigger Auth labs; Auth0 docs,,
33,Authentication Deep Dive (Passwords, MFA, OAuth/JWT),D,Document auth hardening checklist and prepare demo materials,,,
